scenario_id,sampled_historical_slot,name_en,stochastic_net_bike_change_15min,stochastic_demand_15min,stochastic_return_15min
25,2026-05-20 12:50:00,7th,0,0,0
26,2026-05-21 05:50:00,1st,-1,1,0
26,2026-05-21 05:50:00,2nd,1,0,1
26,2026-05-21 05:50:00,3rd,0,1,1
26,2026-05-21 05:50:00,4th,0,0,0
26,2026-05-21 05:50:00,5th,0,0,0
26,2026-05-21 05:50:00,6th,0,0,0
26,2026-05-21 05:50:00,7th,0,0,0
27,2026-05-21 04:50:00,1st,0,0,0
27,2026-05-21 04:50:00,2nd,-1,1,0
27,2026-05-21 04:50:00,3rd,0,0,0
27,2026-05-21 04:50:00,4th,0,0,0
27,2026-05-21 04:50:00,5th,0,0,0
27,2026-05-21 04:50:00,6th,-1,1,0
27,2026-05-21 04:50:00,7th,0,0,0
28,2026-05-20 12:05:00,1st,0,2,2
28,2026-05-20 12:05:00,2nd,1,1,2
28,2026-05-20 12:05:00,3rd,-1,1,0
28,2026-05-20 12:05:00,4th,0,1,1
28,2026-05-20 12:05:00,5th,1,0,1
28,2026-05-20 12:05:00,6th,0,1,1
28,2026-05-20 12:05:00,7th,1,0,1
29,2026-05-20 17:20:00,1st,-1,2,1
29,2026-05-20 17:20:00,2nd,0,0,0
29,2026-05-20 17:20:00,3rd,-1,1,0
29,2026-05-20 17:20:00,4th,0,0,0
29,2026-05-20 17:20:00,5th,0,0,0
29,2026-05-20 17:20:00,6th,0,0,0
29,2026-05-20 17:20:00,7th,1,1,2
30,2026-05-21 02:35:00,1st,0,0,0
30,2026-05-21 02:35:00,2nd,0,0,0
30,2026-05-21 02:35:00,3rd,0,0,0
30,2026-05-21 02:35:00,4th,0,0,0
30,2026-05-21 02:35:00,5th,0,1,1
30,2026-05-21 02:35:00,6th,0,2,2
30,2026-05-21 02:35:00,7th,0,0,0
31,2026-05-20 10:20:00,1st,-1,1,0
31,2026-05-20 10:20:00,2nd,0,0,0
31,2026-05-20 10:20:00,3rd,-1,1,0
31,2026-05-20 10:20:00,4th,0,0,0
31,2026-05-20 10:20:00,5th,0,0,0
31,2026-05-20 10:20:00,6th,0,1,1
31,2026-05-20 10:20:00,7th,2,0,2
32,2026-05-20 23:20:00,1st,-2,4,2
32,2026-05-20 23:20:00,2nd,0,1,1
32,2026-05-20 23:20:00,3rd,0,0,0
32,2026-05-20 23:20:00,4th,0,0,0
32,2026-05-20 23:20:00,5th,0,0,0
32,2026-05-20 23:20:00,6th,0,0,0
32,2026-05-20 23:20:00,7th,1,0,1
33,2026-05-20 18:05:00,1st,1,1,2
33,2026-05-20 18:05:00,2nd,0,0,0
33,2026-05-20 18:05:00,3rd,0,0,0
33,2026-05-20 18:05:00,4th,0,0,0
33,2026-05-20 18:05:00,5th,0,0,0
33,2026-05-20 18:05:00,6th,-1,1,0
33,2026-05-20 18:05:00,7th,-1,1,0
34,2026-05-21 08:50:00,1st,0,0,0
34,2026-05-21 08:50:00,2nd,-1,1,0
